,Ticker,Name,Last Price,Change,Pcnt Change,Market Cap,Volume in Currencies (24Hr),Circulating Supply
0,btc,bitcoin,32457.53,-707.99,-2.13,608764000000.0,19592000000.0,18756000.0
1,eth,ethereum,1912.68,-118.34,-5.83,223177000000.0,16989000000.0,116683000.0
2,usdt,tether,1.0002,-0.0002,-0.02,62099000000.0,41951000000.0,62085000000.0
3,bnb,binancecoin,300.49,-15.46,-4.89,46105000000.0,1320000000.0,153433000.0
4,ada,cardano,1.242,-0.0685,-5.23,39796000000.0,1315000000.0,32040999999.999996
5,xrp,ripple,0.608513,-0.020965,-3.33,28123000000.0,1945000000.0,46217000000.0
7,doge,dogecoin,0.194471,-0.010631999999999999,-5.18,25364000000.0,1157000000.0,130425999999.99998
9,dot1,polkadot,13.73,-1.2,-8.04,13390000000.0,673269000.0,975103000.0
10,uni3,uniswap,18.17,-1.27,-6.55,10669000000.0,357635000.0,587296000.0
11,bch,bitcoin-cash,458.65,-24.56,-5.08,8618000000.0,1117000000.0,18789000.0
12,ltc,litecoin,128.51,-5.21,-3.89,8577999999.999999,1474000000.0,66751999.99999999
13,sol1,solana,28.61,-2.29,-7.41,7801000000.0,207346000.0,272637000.0
14,link,chainlink,16.58,-1.02,-5.81,7271000000.0,581314000.0,438510000.0
15,matic,matic-network,0.922026,-0.065062,-6.59,5837000000.0,411975000.0,6331000000.0
16,xlm,stellar,0.228154,-0.010489,-4.4,5309000000.0,296692000.0,23271000000.0
17,etc,ethereum-classic,44.5,-3.32,-6.94,5176000000.0,1912000000.0,116313000.0
18,icp1,internet-computer,37.24,-0.1,-0.26,5098000000.0,186319000.0,136899000.0
19,theta,theta-token,5.0358,-0.5171,-9.31,5036000000.0,199833000.0,1000000000.0
20,vet,vechain,0.070984,-0.004418,-5.86,4565000000.0,409261000.0,64316000000.0
22,trx,tron,0.058413,-0.002038,-3.37,4186000000.0,575020000.0,71660000000.0
23,eos,eos,3.7791,-0.3603,-8.7,3610000000.0,1191000000.0,955160000.0
24,xmr,monero,198.46,-8.23,-3.98,3563000000.0,150169000.0,17952000.0
25,aave,aave,266.0,-27.68,-9.43,3415000000.0,321011000.0,12839000.0
27,luna1,terra-luna,7.2272,-0.5855,-7.49,3031000000.0,249863000.0,419448000.0
28,shib,shiba-inu,6.91e-06,-6.2e-07,-8.24,2729000000.0,332024000.0,394796000000000.0
29,algo,algorand,0.8542069999999999,-0.017174000000000002,-1.97,2668000000.0,65305000.00000001,3123000000.0
31,atom1,cosmos,11.52,-1.78,-13.35,2512000000.0,298896000.0,218063000.0
32,mkr,maker,2481.19,-114.13,-4.4,2460000000.0,88956000.0,991328.0
33,neo,neo,32.48,-1.49,-4.39,2291000000.0,290065000.0,70539000.0
34,xtz,tezos,2.6793,-0.1374,-4.88,2284000000.0,108455000.0,852452000.0
35,amp1,amp-token,0.049073,-0.0021030000000000003,-4.11,2072000000.0,17553000.0,42228000000.0
36,miota,iota,0.726931,-0.06675299999999999,-8.41,2021000000.0,35929000.0,2780000000.0
40,grt2,the-graph,0.618983,-0.055919,-8.29,1794000000.0,68535000.0,2898000000.0
42,dcr,decred,121.9,-6.0,-4.69,1599000000.0,57181000.0,13116000.0
43,tfuel,theta-fuel,0.29898600000000003,-0.027217,-8.34,1585000000.0,92616000.0,5301000000.0
44,ksm,kusama,184.98,-15.36,-7.67,1567000000.0,104886000.0,8470000.0
53,rune,thorchain,5.4862,-0.7064,-11.41,1284000000.0,41817000.0,234120000.0
